Region,Soil_Type,Soil_pH,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_Used_kg,Irrigation,Pesticides_Used_kg,Planting_Density,Previous_Crop,Yield_ton_per_ha
Region_C,Loam,6.41,1371.3,24.9,53.1,100.5,Flood,0.8,18.1,Barley,91.98
Region_C,Sandy,7.07,677.0,26.9,58.6,160.2,Sprinkler,31.7,19.1,Wheat,106.16
Region_C,Clay,6.54,369.1,29.9,66.4,240.8,Sprinkler,1.4,7.1,Wheat,141.28
Region_C,Loam,7.34,269.5,18.4,63.5,141.0,Drip,39.2,14.1,Wheat,86.25
Region_C,Sandy,7.46,391.1,20.9,45.7,174.0,Drip,37.9,23.9,Barley,103.04
Region_D,Sandy,5.85,1335.5,16.2,72.7,85.0,Drip,27.9,16.0,Barley,86.81
Region_C,Loam,5.84,1118.6,34.5,57.6,80.4,Rainfed,7.0,5.7,Barley,81.32
Region_B,Sandy,7.47,1095.6,25.7,30.2,190.7,Drip,33.9,7.0,Barley,129.88
Region_D,Loam,7.4,277.6,31.0,37.6,229.3,Rainfed,16.3,13.5,Maize,128.34
Region_B,Sandy,6.22,1078.5,19.2,85.9,213.1,Drip,35.1,21.2,Barley,144.34
Region_C,Clay,5.54,395.1,28.3,47.2,292.7,Sprinkler,13.8,13.8,Wheat,163.41
Region_C,Sandy,7.49,302.1,18.8,84.6,241.7,Drip,42.8,21.7,Rice,131.03
Region_B,Loam,6.73,1021.9,29.9,82.1,246.6,Rainfed,5.5,11.8,Rice,160.51
Region_D,Clay,6.14,245.3,18.1,44.3,130.6,Drip,20.1,20.7,No_Previous_Crop,70.97
Region_D,Clay,7.22,236.1,19.7,86.2,259.2,Rainfed,1.3,20.8,Wheat,149.42
Region_B,Clay,5.8,487.9,24.1,51.3,211.2,Rainfed,11.3,24.7,Maize,120.41
Region_B,Loam,5.75,1111.8,21.5,66.0,268.4,Drip,33.4,23.4,Maize,161.58
Region_C,Sandy,7.33,257.0,31.1,59.7,299.4,Flood,26.4,6.1,No_Previous_Crop,156.85
Region_C,Sandy,7.26,238.5,20.3,73.9,252.1,Flood,15.9,10.1,Wheat,139.06
Region_C,Sandy,6.62,1076.4,20.7,33.3,125.7,Sprinkler,28.0,21.3,No_Previous_Crop,104.33
Region_D,Sandy,5.59,1040.1,33.4,76.1,225.5,Flood,7.7,15.9,Maize,155.46
Region_C,Clay,6.32,1001.7,32.8,54.6,205.1,Sprinkler,47.0,9.7,Wheat,145.33
Region_A,Clay,6.33,547.0,17.1,43.2,143.1,Rainfed,37.5,23.0,No_Previous_Crop,93.65
Region_A,Clay,7.43,547.2,15.5,37.0,128.2,Drip,19.8,7.8,No_Previous_Crop,79.32
Region_A,Sandy,6.96,924.3,30.9,50.2,295.5,Sprinkler,19.8,14.7,Wheat,181.39
Region_D,Sandy,6.98,283.9,28.0,58.0,71.5,Rainfed,9.5,22.1,Barley,54.52
Region_A,Loam,7.49,1008.3,20.7,71.9,89.6,Sprinkler,45.2,12.1,Maize,89.42
Region_A,Loam,6.5,738.9,24.8,44.9,180.4,Flood,0.4,16.8,Barley,117.91
Region_D,Sandy,7.02,692.1,24.0,52.4,194.6,Drip,7.9,11.9,Rice,130.67
Region_D,Loam,6.6,918.6,33.3,43.2,271.5,Sprinkler,9.8,22.1,No_Previous_Crop,170.96
Region_C,Sandy,5.82,1026.0,19.2,66.8,57.2,Rainfed,38.6,16.1,Maize,59.67
Region_B,Clay,7.29,1309.9,18.3,42.0,133.3,Flood,8.5,13.1,Rice,115.28
Region_C,Loam,6.26,1034.9,17.9,85.5,141.5,Flood,13.8,6.4,Maize,106.32
Region_D,Sandy,5.51,680.9,15.3,67.3,137.7,Drip,8.2,7.8,Barley,91.95
Region_A,Loam,7.46,226.8,21.2,53.9,134.2,Drip,1.4,14.2,Rice,90.9
Region_B,Sandy,5.55,1487.7,27.6,82.9,175.6,Rainfed,29.4,22.1,Wheat,138.85
Region_B,Clay,6.07,876.7,33.9,41.6,126.3,Flood,45.3,18.0,No_Previous_Crop,98.31
Region_C,Clay,5.68,1059.9,29.2,70.6,247.8,Flood,27.0,18.4,Maize,163.39
Region_A,Clay,7.3,572.0,30.1,32.3,247.2,Rainfed,38.1,11.6,Maize,144.91
Region_D,Clay,6.88,1117.3,32.6,68.6,115.1,Sprinkler,42.8,14.6,Barley,101.93
Region_B,Sandy,6.65,1310.0,22.2,63.5,102.4,Flood,32.8,10.4,Barley,95.88
Region_D,Sandy,6.47,1159.7,29.5,85.9,165.9,Drip,8.4,10.9,Wheat,129.76
Region_C,Clay,6.79,1378.9,27.8,32.1,138.6,Rainfed,45.5,5.1,Wheat,120.89
Region_C,Loam,5.9,314.2,17.8,74.5,274.9,Flood,13.8,12.5,No_Previous_Crop,149.61
Region_C,Loam,7.2,942.1,34.9,67.5,251.2,Flood,26.9,6.5,Maize,159.43
Region_B,Clay,6.99,538.3,19.7,53.6,155.6,Sprinkler,21.9,24.4,Maize,104.69
Region_B,Sandy,6.57,580.8,28.0,88.3,192.9,Drip,30.0,19.6,Barley,119.73
Region_A,Sandy,6.66,1038.1,27.3,89.9,145.7,Drip,47.3,23.5,Rice,120.18
Region_C,Clay,6.07,369.3,22.6,36.1,187.3,Sprinkler,16.9,13.3,No_Previous_Crop,111.3
Region_D,Sandy,6.59,1425.1,34.5,32.9,297.2,Drip,43.5,21.6,Wheat,202.2
Region_A,Sandy,6.33,899.7,29.5,86.3,273.3,Flood,10.9,21.9,Wheat,174.16
Region_D,Loam,7.29,510.2,19.6,84.9,118.2,Sprinkler,48.3,14.4,No_Previous_Crop,77.62
Region_C,Loam,7.07,755.9,19.3,39.6,104.3,Drip,32.5,8.7,Wheat,88.16
Region_A,Clay,6.64,1447.0,22.2,78.2,91.7,Sprinkler,28.1,8.9,No_Previous_Crop,98.53
Region_A,Sandy,6.52,292.9,27.2,61.4,85.1,Drip,17.5,13.6,Barley,59.33
Region_A,Sandy,6.35,943.8,24.3,82.2,133.0,Rainfed,8.9,16.4,No_Previous_Crop,100.47
Region_B,Loam,6.86,633.7,22.2,32.5,102.6,Drip,39.4,21.9,Wheat,83.39
Region_D,Sandy,7.25,505.0,32.2,41.5,97.1,Drip,30.9,7.0,Maize,66.26
Region_C,Loam,6.39,751.8,29.9,75.9,262.7,Rainfed,47.2,9.6,Barley,168.32
Region_B,Sandy,7.38,391.1,26.7,59.3,134.2,Drip,4.6,8.0,Barley,90.98
Region_C,Loam,5.55,347.2,25.3,86.2,229.0,Rainfed,41.2,8.0,Rice,128.28
Region_B,Loam,6.92,956.5,26.5,80.0,124.3,Rainfed,20.0,22.1,No_Previous_Crop,107.5
Region_B,Clay,7.27,614.1,28.3,63.9,238.4,Sprinkler,21.3,17.4,Barley,138.06
Region_B,Clay,6.53,698.1,31.0,63.8,263.7,Rainfed,32.9,5.4,Wheat,163.71
Region_A,Sandy,5.83,749.5,30.2,69.0,50.5,Sprinkler,49.6,13.3,Barley,55.76
Region_C,Clay,5.66,417.3,17.4,71.4,57.6,Rainfed,43.1,5.8,Maize,38.8
Region_B,Loam,6.06,639.8,34.7,48.5,101.8,Drip,13.3,21.1,Rice,82.24
Region_D,Clay,6.3,1023.6,31.2,77.4,196.3,Rainfed,11.4,15.1,Rice,135.36
Region_A,Sandy,5.59,1142.4,15.8,59.7,62.4,Rainfed,20.9,22.1,No_Previous_Crop,72.9
Region_A,Sandy,6.08,521.4,28.2,74.6,168.1,Sprinkler,28.0,8.4,No_Previous_Crop,101.68
Region_C,Clay,5.75,479.0,24.4,39.4,254.2,Sprinkler,0.9,12.3,Rice,149.57
Region_A,Loam,6.52,985.8,29.1,43.1,146.7,Sprinkler,22.2,24.7,Wheat,116.64
Region_A,Clay,6.31,457.4,26.0,51.1,148.6,Sprinkler,32.0,6.0,No_Previous_Crop,92.56
Region_C,Loam,5.98,744.3,19.9,77.4,126.9,Drip,33.3,20.1,Barley,88.76
Region_B,Sandy,6.81,419.8,33.3,85.3,264.2,Sprinkler,47.3,7.1,Maize,150.7
Region_D,Loam,6.27,1169.8,26.6,76.8,280.1,Flood,11.6,12.6,No_Previous_Crop,185.88
Region_A,Loam,6.04,218.8,17.9,38.1,152.5,Rainfed,45.2,14.8,Maize,83.82
Region_B,Sandy,7.5,1344.5,28.3,58.6,295.4,Drip,11.9,11.1,Rice,187.61
Region_D,Clay,6.83,975.9,33.4,66.2,165.5,Rainfed,44.7,6.8,No_Previous_Crop,116.57
Region_B,Loam,7.29,953.2,31.4,55.6,69.7,Drip,38.4,20.2,Maize,69.71
Region_C,Clay,6.33,1312.8,33.3,78.4,69.3,Drip,28.9,23.3,Wheat,79.37
Region_B,Clay,6.22,1151.5,29.3,41.5,62.1,Rainfed,11.2,24.2,No_Previous_Crop,67.75
Region_A,Loam,6.98,806.9,15.5,72.2,284.7,Sprinkler,17.4,9.5,Maize,164.45
Region_B,Sandy,6.6,1257.4,19.3,66.9,54.4,Rainfed,34.3,11.0,Maize,67.71
Region_D,Sandy,6.06,1113.5,28.2,39.3,184.4,Sprinkler,3.5,8.2,Barley,142.11
Region_D,Loam,5.89,667.4,21.3,42.4,102.0,Rainfed,20.9,10.3,No_Previous_Crop,80.97
Region_A,Loam,7.01,1262.7,28.7,72.8,56.6,Rainfed,31.4,24.2,Wheat,71.07
Region_B,Sandy,5.52,977.5,27.9,34.2,264.3,Sprinkler,34.2,18.0,Wheat,164.7
Region_D,Clay,7.36,790.9,34.5,58.9,239.0,Sprinkler,16.6,15.3,Wheat,155.97
Region_A,Loam,6.49,1268.8,25.6,40.9,80.2,Sprinkler,49.2,8.6,No_Previous_Crop,84.74
Region_C,Clay,5.64,1127.8,22.7,46.2,231.1,Drip,12.4,11.5,Rice,149.86
Region_B,Sandy,7.28,349.4,32.9,46.8,121.7,Rainfed,35.3,15.1,Maize,73.49
Region_D,Loam,6.68,327.6,18.9,37.4,97.1,Sprinkler,31.2,15.6,No_Previous_Crop,63.31
Region_B,Loam,6.62,1443.7,24.9,35.5,197.9,Sprinkler,20.8,24.7,No_Previous_Crop,147.51
Region_D,Sandy,5.65,965.3,33.9,36.3,59.5,Sprinkler,12.0,5.4,Wheat,61.58
Region_A,Loam,5.81,1264.4,19.7,34.9,205.5,Rainfed,35.6,12.8,Barley,148.07
Region_D,Clay,5.62,465.7,22.6,54.6,299.6,Drip,4.8,22.6,Maize,166.05
Region_C,Clay,6.9,296.7,17.7,37.4,111.0,Sprinkler,49.2,17.7,Maize,63.59
Region_D,Clay,5.66,863.4,29.5,87.8,151.8,Drip,24.4,18.5,No_Previous_Crop,108.26
Region_D,Clay,6.08,913.5,31.7,61.8,292.1,Flood,46.4,21.0,No_Previous_Crop,183.03
Region_A,Sandy,7.09,668.2,27.3,43.0,142.3,Sprinkler,28.7,11.3,Wheat,102.0
Region_C,Clay,7.05,727.8,28.0,66.4,207.8,Flood,17.6,10.3,Wheat,129.05
Region_D,Clay,6.08,698.8,20.1,62.8,253.8,Rainfed,13.5,21.8,Barley,152.51
Region_B,Loam,6.87,564.9,17.3,66.8,253.1,Sprinkler,26.0,11.9,Barley,147.64
Region_B,Loam,7.32,1204.7,33.6,45.5,202.9,Flood,34.5,7.9,Wheat,147.25
Region_D,Clay,6.52,996.8,19.8,86.4,115.7,Rainfed,12.1,18.3,Rice,87.97
Region_C,Sandy,6.68,1456.7,29.7,61.8,170.9,Drip,38.2,13.0,Barley,130.19
Region_C,Clay,6.47,1305.0,22.1,69.9,278.1,Rainfed,14.2,20.5,Rice,180.74
Region_A,Clay,7.17,535.1,26.9,86.3,214.9,Flood,24.9,14.8,Barley,130.93
Region_D,Sandy,6.67,837.4,26.9,40.7,196.1,Drip,44.7,12.6,No_Previous_Crop,125.7
Region_C,Loam,6.4,1348.8,24.7,78.3,147.1,Rainfed,41.6,5.3,Wheat,121.37
Region_D,Clay,6.7,1279.4,16.7,66.7,97.2,Drip,40.4,24.6,Barley,91.92
Region_C,Sandy,6.89,458.5,24.0,47.1,77.2,Flood,18.3,23.2,No_Previous_Crop,55.85
Region_C,Loam,6.57,859.2,30.8,48.1,91.0,Drip,36.3,5.1,Barley,76.06
Region_A,Sandy,7.41,886.5,34.4,46.4,290.7,Sprinkler,40.6,16.3,Rice,173.54
Region_D,Sandy,5.69,950.0,30.9,40.4,122.5,Rainfed,41.7,21.1,Wheat,104.62
Region_B,Clay,6.51,300.1,24.8,77.3,88.6,Flood,25.7,24.6,Barley,55.06
Region_C,Sandy,7.17,863.7,25.2,37.4,114.0,Flood,23.6,22.2,Rice,90.23
Region_A,Clay,6.26,1134.5,24.5,73.3,208.2,Rainfed,18.7,20.4,Maize,141.28
Region_D,Sandy,5.63,1388.2,21.9,85.5,102.4,Drip,17.4,21.4,Barley,98.73
Region_A,Sandy,5.59,1076.6,29.6,30.9,97.6,Flood,26.5,14.5,Rice,94.21
Region_C,Sandy,5.91,957.5,26.7,87.9,160.4,Sprinkler,5.8,16.9,No_Previous_Crop,119.53
Region_C,Loam,6.01,1366.3,30.7,72.0,149.9,Flood,6.5,24.3,Barley,111.26
Region_B,Clay,6.7,1006.5,28.9,43.8,67.8,Drip,4.0,6.3,Wheat,72.41
Region_C,Sandy,6.87,750.1,30.4,71.3,280.4,Sprinkler,32.1,22.5,Rice,168.9
Region_A,Loam,6.35,1371.6,22.0,76.0,68.9,Sprinkler,31.6,20.1,Maize,77.61
Region_C,Loam,6.3,1419.6,27.6,72.7,81.8,Flood,33.2,23.0,Wheat,86.74
Region_B,Sandy,5.55,297.3,34.8,63.8,79.5,Rainfed,21.7,16.4,Rice,55.9
Region_A,Loam,7.33,981.5,25.5,54.9,276.9,Rainfed,8.1,7.2,Barley,173.37
Region_B,Sandy,6.49,647.7,34.3,86.2,150.4,Flood,22.5,14.8,Wheat,112.22
Region_C,Loam,6.37,374.6,30.0,43.0,161.1,Drip,38.0,11.7,No_Previous_Crop,108.39
Region_A,Sandy,6.29,1076.6,27.0,78.8,66.9,Flood,23.9,14.9,No_Previous_Crop,76.84
Region_B,Sandy,6.88,807.6,26.9,49.7,108.8,Flood,34.9,10.0,No_Previous_Crop,78.83
Region_D,Loam,6.26,841.6,31.9,36.2,226.4,Rainfed,23.1,22.9,Rice,151.2
Region_B,Sandy,6.33,1076.7,21.5,53.0,236.8,Rainfed,6.3,15.6,Wheat,158.89
Region_B,Sandy,6.25,1261.2,15.8,37.9,222.6,Flood,2.8,7.1,Maize,152.81
Region_C,Sandy,5.6,1397.7,28.1,79.3,62.9,Rainfed,45.7,18.9,No_Previous_Crop,77.16
Region_C,Clay,6.13,266.9,18.7,58.1,239.8,Rainfed,46.5,23.0,No_Previous_Crop,135.32
Region_A,Clay,6.93,1422.6,15.2,89.0,249.9,Flood,0.4,16.8,Rice,176.56
Region_A,Loam,7.29,1077.3,16.1,60.4,51.1,Sprinkler,23.8,13.1,No_Previous_Crop,62.81
Region_C,Clay,7.35,297.3,28.1,31.6,70.4,Flood,33.0,24.0,Barley,52.65
Region_A,Sandy,5.54,859.5,20.9,34.8,72.2,Rainfed,24.3,25.0,Rice,72.99
Region_A,Loam,7.29,1149.4,16.7,32.4,271.2,Sprinkler,20.9,11.5,Rice,180.98
Region_B,Clay,6.52,593.5,21.8,78.9,240.3,Rainfed,9.9,13.9,Wheat,139.87
Region_B,Clay,7.12,1236.7,19.0,54.5,256.0,Sprinkler,43.9,22.3,No_Previous_Crop,171.39
Region_B,Loam,6.19,1160.0,27.9,47.6,205.5,Drip,10.8,17.4,Barley,149.84
Region_D,Loam,6.47,214.6,34.7,30.3,162.0,Drip,16.1,21.0,No_Previous_Crop,90.38
Region_B,Sandy,6.0,620.3,20.3,75.4,82.3,Rainfed,6.0,19.7,Barley,57.57
Region_A,Clay,6.72,1434.8,20.4,37.6,93.6,Flood,25.4,12.7,No_Previous_Crop,92.79
Region_D,Sandy,6.58,659.6,32.3,40.8,99.9,Flood,11.6,12.5,Rice,79.72
Region_A,Sandy,6.13,1086.4,32.5,67.7,66.5,Flood,42.9,10.2,Maize,73.26
Region_D,Sandy,7.36,697.0,27.8,58.9,98.1,Drip,44.4,20.6,Maize,71.12
Region_C,Clay,7.11,509.3,16.8,40.9,238.2,Flood,9.0,14.0,Maize,147.71
Region_B,Loam,7.15,611.2,32.5,54.1,183.4,Flood,33.1,22.0,Wheat,113.22
Region_A,Clay,6.04,1420.8,24.1,60.3,55.0,Sprinkler,38.1,11.1,Rice,71.73
Region_A,Sandy,6.14,697.0,25.1,85.4,67.3,Flood,34.9,8.6,Maize,64.5
Region_C,Loam,5.82,1323.5,20.5,37.5,81.7,Rainfed,13.1,8.3,Wheat,90.03
Region_B,Sandy,6.64,794.2,27.0,71.5,234.9,Drip,27.7,24.0,Rice,151.67
Region_D,Clay,7.05,860.1,28.0,74.0,284.0,Drip,38.4,23.3,Maize,165.05
Region_C,Clay,5.82,844.3,20.4,35.8,58.3,Sprinkler,10.1,9.2,No_Previous_Crop,62.55
Region_B,Sandy,5.63,353.3,32.1,32.6,116.1,Flood,17.4,17.8,Rice,70.16
Region_A,Clay,6.97,624.8,23.8,54.0,292.6,Rainfed,29.3,23.7,Maize,170.57
Region_D,Loam,7.05,1480.8,33.6,56.9,62.8,Rainfed,42.3,18.7,Maize,90.45
Region_A,Clay,6.59,1001.9,23.5,64.5,176.4,Rainfed,7.3,21.0,Barley,122.1
Region_D,Loam,5.78,1221.5,15.1,74.0,212.9,Rainfed,45.4,14.0,Barley,147.99
Region_A,Loam,5.85,1481.2,22.1,34.6,76.5,Sprinkler,26.7,14.8,No_Previous_Crop,91.15
Region_B,Sandy,6.65,1236.1,16.3,36.7,155.5,Flood,26.6,5.5,No_Previous_Crop,117.62
Region_D,Loam,6.88,805.1,28.9,41.8,80.9,Sprinkler,8.3,11.0,Wheat,72.0
Region_D,Sandy,6.76,565.1,24.1,63.5,241.6,Flood,43.5,19.0,Wheat,134.99
Region_D,Loam,6.13,1372.5,33.8,85.5,260.9,Rainfed,16.3,18.5,Wheat,174.15
Region_D,Sandy,6.56,567.3,30.5,61.0,247.3,Flood,16.5,17.8,Rice,135.77
Region_B,Sandy,5.7,435.2,19.2,50.0,143.2,Sprinkler,21.5,7.8,Maize,98.62
Region_B,Clay,6.23,954.0,17.3,61.4,63.6,Rainfed,31.5,19.5,Wheat,64.38
Region_C,Sandy,7.3,558.1,30.8,75.2,137.2,Rainfed,33.5,5.2,Maize,95.25
Region_A,Sandy,6.02,1395.2,20.0,50.8,251.0,Rainfed,6.6,12.3,No_Previous_Crop,174.69
Region_A,Clay,7.01,1437.3,34.2,54.2,249.2,Rainfed,41.7,7.8,Maize,171.29
Region_C,Sandy,6.98,1058.7,16.7,79.5,185.7,Flood,12.6,14.2,Rice,133.88
Region_C,Loam,6.54,283.6,28.1,50.9,208.2,Sprinkler,35.3,22.9,Maize,111.85
Region_B,Sandy,7.31,935.7,25.8,80.4,197.7,Flood,43.1,8.9,Wheat,127.52
Region_B,Clay,6.14,751.7,32.5,47.5,114.6,Drip,44.5,16.2,Wheat,78.21
Region_B,Loam,7.03,661.8,22.2,40.6,73.2,Drip,6.4,23.2,No_Previous_Crop,58.99
Region_B,Sandy,7.24,702.4,16.4,61.9,162.8,Drip,46.2,8.6,Maize,113.32
Region_C,Clay,5.68,516.5,34.4,66.0,295.3,Sprinkler,29.2,14.6,Maize,175.62
Region_A,Loam,7.2,1313.7,28.6,66.1,133.7,Drip,35.9,11.1,Maize,115.82
Region_B,Sandy,6.18,401.0,15.3,65.2,208.4,Rainfed,3.6,18.3,No_Previous_Crop,121.92
Region_D,Clay,6.35,1017.2,16.5,64.7,253.2,Flood,38.8,16.9,Barley,156.36
Region_A,Loam,7.08,317.7,21.1,58.1,292.1,Drip,38.8,7.2,Wheat,166.52
Region_B,Loam,7.3,550.1,33.5,55.7,244.8,Flood,42.9,13.4,Rice,143.92
Region_A,Clay,6.96,1029.6,21.0,80.8,235.4,Drip,0.1,6.5,Maize,152.23
Region_D,Sandy,5.73,729.1,24.1,67.9,171.6,Sprinkler,8.3,8.3,Barley,114.86
Region_C,Loam,5.96,594.2,21.2,50.1,268.9,Rainfed,32.4,22.6,Wheat,154.9
Region_A,Loam,6.14,1134.5,33.5,67.7,185.5,Flood,7.4,21.1,Wheat,134.07
Region_B,Loam,7.3,1266.1,23.6,74.9,149.4,Drip,28.0,5.6,Barley,110.17
Region_B,Clay,7.44,333.6,22.1,77.9,63.6,Drip,39.5,22.0,No_Previous_Crop,41.45
Region_B,Loam,5.98,578.6,31.3,49.0,115.5,Drip,45.8,23.7,No_Previous_Crop,75.24
Region_B,Clay,6.27,1022.1,26.9,69.7,180.4,Sprinkler,10.6,7.9,Maize,134.59
Region_B,Loam,6.92,865.8,28.4,31.7,167.2,Sprinkler,48.1,6.7,Maize,112.02
Region_D,Loam,6.08,625.8,19.5,76.2,136.8,Rainfed,48.7,18.8,Maize,95.64
Region_A,Clay,7.43,1146.4,25.7,76.5,109.9,Sprinkler,50.0,24.1,No_Previous_Crop,95.07
Region_C,Loam,6.35,255.9,33.0,40.5,123.3,Drip,43.4,17.1,Maize,74.69
Region_A,Sandy,5.81,385.5,24.3,34.9,143.4,Drip,7.1,6.8,Wheat,83.25
Region_C,Sandy,6.49,618.1,28.7,65.1,266.3,Flood,14.1,12.4,No_Previous_Crop,155.78
Region_A,Sandy,6.33,632.4,34.3,89.7,265.5,Sprinkler,19.9,11.5,No_Previous_Crop,164.21
Region_D,Loam,6.89,1245.4,21.7,77.9,182.0,Flood,15.1,23.3,No_Previous_Crop,125.16
Region_A,Sandy,6.51,1401.5,23.8,60.9,82.7,Sprinkler,17.6,23.5,No_Previous_Crop,86.27
Region_A,Sandy,5.98,1187.4,30.8,84.0,227.3,Flood,13.3,14.5,Wheat,156.9
Region_B,Sandy,5.67,855.6,32.9,86.6,65.1,Flood,7.1,16.5,Wheat,61.45
Region_A,Loam,6.91,1187.6,21.0,83.3,177.9,Rainfed,17.4,17.5,Barley,130.54
Region_D,Sandy,6.32,1067.6,30.5,75.4,158.6,Sprinkler,21.1,22.1,Maize,111.05
Region_C,Loam,6.65,1394.0,29.1,68.9,220.2,Rainfed,27.6,18.9,No_Previous_Crop,157.27
Region_D,Clay,6.69,262.5,15.8,82.2,155.5,Rainfed,20.5,6.0,Wheat,84.84
Region_A,Loam,7.39,1333.9,32.1,34.0,155.9,Flood,27.8,6.0,Barley,124.48
Region_A,Sandy,7.31,603.6,27.0,54.0,272.6,Rainfed,12.7,8.3,Rice,164.09
Region_A,Sandy,7.26,231.5,22.3,49.0,161.1,Flood,22.2,7.8,Rice,96.06
Region_A,Sandy,7.16,716.5,19.9,61.7,175.2,Sprinkler,36.5,11.9,Barley,110.63
Region_A,Loam,6.63,921.5,18.5,54.6,67.0,Rainfed,49.2,23.2,No_Previous_Crop,55.29
Region_B,Clay,5.66,331.1,15.2,39.7,289.6,Rainfed,33.6,14.6,Maize,161.08
Region_D,Loam,6.89,1195.8,17.6,51.0,194.3,Flood,4.1,6.7,Maize,136.36
Region_D,Loam,6.07,1269.7,34.4,86.8,200.0,Drip,36.5,11.6,No_Previous_Crop,142.83
Region_A,Clay,5.6,258.4,21.4,34.2,200.0,Drip,26.0,13.5,Barley,114.82
Region_A,Loam,5.65,554.4,32.9,41.9,299.2,Rainfed,33.7,24.9,Barley,170.17
Region_C,Clay,6.0,1379.8,19.3,42.1,158.4,Drip,9.4,7.6,Barley,122.98
Region_D,Sandy,5.86,1375.1,30.2,40.3,139.7,Drip,7.9,10.1,Rice,118.68
Region_B,Sandy,5.85,1436.0,34.1,58.6,102.6,Drip,1.7,11.6,Rice,101.19
Region_C,Sandy,5.96,296.1,31.3,66.2,288.0,Flood,48.3,18.0,Rice,164.2
Region_A,Loam,5.66,581.3,20.1,31.3,242.5,Flood,30.1,15.2,Rice,146.92
Region_D,Clay,6.02,1251.0,33.5,31.4,249.0,Rainfed,25.6,5.5,Barley,166.02
Region_C,Loam,6.73,504.0,22.9,86.9,250.5,Sprinkler,40.0,6.2,Barley,142.8
Region_A,Sandy,6.73,211.5,23.8,69.6,163.3,Flood,27.9,15.5,Wheat,90.36
Region_C,Sandy,7.24,476.1,18.4,69.3,161.0,Sprinkler,29.9,15.1,Maize,90.89
Region_A,Sandy,5.87,801.4,20.1,63.5,260.1,Sprinkler,33.4,12.5,Barley,169.63
Region_A,Clay,7.36,324.6,21.1,67.4,259.4,Sprinkler,32.6,6.6,No_Previous_Crop,140.82
Region_B,Sandy,6.49,1010.0,18.7,34.0,128.7,Flood,27.8,24.6,Maize,97.17
Region_A,Sandy,7.11,1256.8,30.6,31.3,130.9,Drip,43.9,7.5,Rice,105.22
Region_D,Clay,5.96,1304.9,24.2,34.2,112.0,Flood,41.9,5.4,No_Previous_Crop,98.22
Region_D,Sandy,5.64,1120.1,17.8,72.8,170.2,Sprinkler,5.3,13.6,Maize,112.6
Region_B,Loam,6.98,1137.1,22.5,55.1,183.0,Flood,41.2,24.8,Maize,126.51
Region_D,Loam,6.06,902.3,34.9,49.3,253.1,Rainfed,11.8,10.8,No_Previous_Crop,159.82
Region_A,Clay,7.25,555.1,33.2,58.1,150.4,Sprinkler,5.4,16.7,Maize,89.57
Region_A,Sandy,6.07,1444.5,25.9,48.3,228.0,Sprinkler,25.0,17.6,Barley,162.9
Region_A,Clay,5.99,1346.2,23.7,61.4,150.3,Rainfed,13.8,10.5,Maize,119.52
Region_D,Sandy,6.26,328.4,19.6,77.8,298.9,Sprinkler,30.3,13.7,Rice,161.77
Region_C,Loam,7.15,1080.8,20.3,45.3,168.8,Drip,41.1,16.5,Rice,115.86
Region_A,Clay,6.73,991.9,17.3,69.6,65.1,Flood,4.5,16.2,Rice,66.49
Region_A,Sandy,7.4,773.0,28.6,32.7,123.4,Rainfed,6.9,19.0,Barley,93.48
Region_D,Loam,5.73,573.6,17.5,47.6,128.4,Drip,23.3,21.8,No_Previous_Crop,88.16
Region_C,Sandy,6.43,1333.2,21.0,75.1,57.5,Rainfed,20.4,10.2,Rice,81.38
Region_C,Clay,6.31,512.3,16.4,39.6,93.2,Flood,37.0,15.4,Barley,68.4
Region_A,Sandy,7.15,699.9,26.5,84.1,235.9,Rainfed,29.8,5.7,Barley,148.98
Region_C,Sandy,6.69,337.6,16.8,58.9,138.4,Sprinkler,24.1,23.1,Maize,81.01
Region_A,Loam,7.49,1375.2,28.6,44.1,115.4,Rainfed,5.0,20.5,Rice,110.15
Region_D,Loam,6.05,1474.5,27.3,44.3,104.9,Drip,25.5,24.9,No_Previous_Crop,100.51
Region_A,Clay,6.03,651.8,32.5,74.0,124.9,Drip,31.0,19.6,Maize,75.96
Region_D,Clay,6.01,1298.9,25.7,58.8,158.2,Rainfed,27.6,20.2,Maize,126.97
Region_D,Loam,6.54,417.3,24.5,82.3,144.8,Flood,15.5,11.8,Maize,84.0
Region_B,Loam,5.66,790.6,17.6,60.0,237.6,Sprinkler,43.1,9.2,Maize,143.11
Region_D,Sandy,6.09,430.6,28.6,86.9,213.9,Drip,5.3,19.7,Maize,125.63
Region_B,Loam,6.0,1242.4,33.9,43.8,254.3,Sprinkler,21.5,22.9,Rice,168.41
Region_D,Clay,7.4,1004.6,21.1,52.3,250.9,Sprinkler,19.2,5.7,Barley,163.6
Region_D,Sandy,7.47,1405.2,23.5,35.7,74.9,Drip,42.3,23.9,No_Previous_Crop,73.5
Region_D,Loam,5.74,1036.5,31.2,39.4,210.1,Rainfed,21.9,11.8,Wheat,136.4
Region_C,Loam,7.03,527.6,34.7,49.6,196.8,Flood,37.7,19.9,Barley,121.46
Region_C,Loam,7.1,1035.0,24.1,38.0,115.4,Sprinkler,33.8,20.8,Barley,90.7
Region_D,Loam,6.6,796.7,25.6,55.0,255.4,Rainfed,3.4,19.2,Rice,161.86
